GroupCode,GroupName,CountryCode,CountryName
ARB,Arab World,ARE,United Arab Emirates
ARB,Arab World,BHR,Bahrain
ARB,Arab World,COM,Comoros
ARB,Arab World,DJI,Djibouti
ARB,Arab World,DZA,Algeria
ARB,Arab World,EGY,"Egypt, Arab Rep."
ARB,Arab World,IRQ,Iraq
ARB,Arab World,JOR,Jordan
ARB,Arab World,KWT,Kuwait
ARB,Arab World,LBN,Lebanon
ARB,Arab World,LBY,Libya
ARB,Arab World,MAR,Morocco
ARB,Arab World,MRT,Mauritania
ARB,Arab World,OMN,Oman
ARB,Arab World,PSE,West Bank and Gaza
ARB,Arab World,QAT,Qatar
ARB,Arab World,SAU,Saudi Arabia
ARB,Arab World,SDN,Sudan
ARB,Arab World,SOM,Somalia
ARB,Arab World,SYR,Syrian Arab Republic
ARB,Arab World,TUN,Tunisia
ARB,Arab World,YEM,"Yemen, Rep."
CEB,Central Europe and the Baltics,BGR,Bulgaria
CEB,Central Europe and the Baltics,CZE,Czech Republic
CEB,Central Europe and the Baltics,EST,Estonia
CEB,Central Europe and the Baltics,HRV,Croatia
CEB,Central Europe and the Baltics,HUN,Hungary
CEB,Central Europe and the Baltics,LTU,Lithuania
CEB,Central Europe and the Baltics,LVA,Latvia
CEB,Central Europe and the Baltics,POL,Poland
CEB,Central Europe and the Baltics,ROU,Romania
CEB,Central Europe and the Baltics,SVK,Slovak Republic
CEB,Central Europe and the Baltics,SVN,Slovenia
CSS,Caribbean small states,ATG,Antigua and Barbuda
CSS,Caribbean small states,BHS,"Bahamas, The"
CSS,Caribbean small states,BLZ,Belize
CSS,Caribbean small states,BRB,Barbados
CSS,Caribbean small states,DMA,Dominica
CSS,Caribbean small states,GRD,Grenada
CSS,Caribbean small states,GUY,Guyana
CSS,Caribbean small states,JAM,Jamaica
CSS,Caribbean small states,KNA,St. Kitts and Nevis
CSS,Caribbean small states,LCA,St. Lucia
CSS,Caribbean small states,SUR,Suriname
CSS,Caribbean small states,TTO,Trinidad and Tobago
CSS,Caribbean small states,VCT,St. Vincent and the Grenadines
EAR,Early-demographic dividend,ARG,Argentina
EAR,Early-demographic dividend,BGD,Bangladesh
EAR,Early-demographic dividend,BHR,Bahrain
EAR,Early-demographic dividend,BLZ,Belize
EAR,Early-demographic dividend,BOL,Bolivia
EAR,Early-demographic dividend,BTN,Bhutan
EAR,Early-demographic dividend,BWA,Botswana
EAR,Early-demographic dividend,CPV,Cabo Verde
EAR,Early-demographic dividend,DJI,Djibouti
EAR,Early-demographic dividend,DOM,Dominican Republic
EAR,Early-demographic dividend,DZA,Algeria
EAR,Early-demographic dividend,ECU,Ecuador
EAR,Early-demographic dividend,EGY,"Egypt, Arab Rep."
EAR,Early-demographic dividend,ETH,Ethiopia
EAR,Early-demographic dividend,FSM,"Micronesia, Fed. Sts."
EAR,Early-demographic dividend,GAB,Gabon
EAR,Early-demographic dividend,GHA,Ghana
EAR,Early-demographic dividend,GRD,Grenada
EAR,Early-demographic dividend,GTM,Guatemala
EAR,Early-demographic dividend,HND,Honduras
EAR,Early-demographic dividend,HTI,Haiti
EAR,Early-demographic dividend,IDN,Indonesia
EAR,Early-demographic dividend,IND,India
EAR,Early-demographic dividend,IRN,"Iran, Islamic Rep."
EAR,Early-demographic dividend,ISR,Israel
EAR,Early-demographic dividend,JOR,Jordan
EAR,Early-demographic dividend,KHM,Cambodia
EAR,Early-demographic dividend,KIR,Kiribati
EAR,Early-demographic dividend,LAO,Lao PDR
EAR,Early-demographic dividend,LBY,Libya
EAR,Early-demographic dividend,LSO,Lesotho
EAR,Early-demographic dividend,MDV,Maldives
EAR,Early-demographic dividend,MEX,Mexico
EAR,Early-demographic dividend,MMR,Myanmar
EAR,Early-demographic dividend,NAM,Namibia
EAR,Early-demographic dividend,NIC,Nicaragua
EAR,Early-demographic dividend,NPL,Nepal
