wbcode,country,areakm2,cen_lat,cen_lon,elev,distcr,distc,distr,tropicar,troppop,lc100km,lcr100km,pop95,pdenpavg,pop100km,pop100cr,cen_c,cen_cr
"AFG","Afghanistan",646212,33.78231,66.1685,1884.71,942.351,942.467,2173.6,0,0,0,0,1.98e+07,101.466,0,0,912.242,911.66
"AGO","Angola",1235014,-12.35773,17.73944,1112.805,481.495,509.511,593.664,1,1,.1152011,.1380146,1.03e+07,39.122,.22,.24,439.988,440.669
"ALB","Albania",27899.96,41.14326,20.25988,911.4299,77.5443,76.038,387.121,0,0,.8584242,.8754494,3024697,138.108,.8,.8,88.3814,87.9127
"ARE","United Arab Emirates",102580.3,23.53906,54.30128,148.9142,102.625,101.119,2384.37,.5117302,.2095822,.5632176,.5683355,2149241,68.906,.78,.78,69.96239,67.6458
"ARG","Argentina",2775401,-35.38706,-64.92097,595.62,271.642,388.408,832.692,.0270889,.008644,.1106146,.1968905,3.10e+07,47.908,.2,.32,478.949,478.127
"ARM","Armenia",30643.8,40.30967,45.21657,1792.034,420.939,420.939,832.382,0,0,0,0,3632465,105.577,0,0,412.509,413.293
"AUS","Australia",7662592,-25.84766,134.6131,272.4731,354.887,354.777,5188.9,.3818873,.0391319,.1930091,.1946437,1.57e+07,799.967,.83,.83,708.199,707.832
"AUT","Austria",84905.64,47.59834,14.31527,898.7706,79.4891,263.147,81.3668,0,0,.00795,.6080279,8617498,778.226,.01,.71,71.8189,222.423
"AZE","Azerbaijan",87881.22,40.27108,47.8243,750.5538,696.768,696.794,1068.69,0,0,0,0,7354703,66.356,0,0,689.601,690.335
"BDI","Burundi",28289.77,-3.514774,30.0655,1504.207,1009.66,1009.66,1860.04,1,1,0,0,5911982,272.686,0,0,1008.3,1007.55
"BEL","Belgium",31318.33,50.66245,4.826458,181.7746,38.3926,123.756,53.2518,0,0,.4981109,.9922305,1.03e+07,1048.776,.66,.99,23.5143,101.379
"BEN","Benin",116045.6,9.616513,2.552924,273.4081,352.174,355.202,617.711,1,1,.1124558,.1131021,5428838,198.822,.51,.51,355.479,357.799
"BFA","Burkina Faso",276522.2,12.26572,-1.53909,297.8957,731.845,732.248,960.376,1,1,0,0,1.05e+07,64.755,0,0,747.622,746.853
"BGD","Bangladesh",135886.9,23.81429,90.42107,85.4761,41.1235,151.964,79.8286,.4210526,.3494718,.4078759,.9715799,1.14e+08,1060.791,.38,.98,21.7295,102.875
"BGR","Bulgaria",119438.6,42.79115,25.34952,421.2224,73.0677,158.608,118.595,0,0,.2616407,.6566135,9184847,226.465,.27,.6,88.9743,203.137
"BIH","Bosnia and Herzegovina",51385.29,44.17501,17.9927,702.2336,67.2865,136.692,104.18,0,0,.3605117,.8426536,3430252,85.975,.31,.82,101.162,138.93
"BLR","Byelarus",205718.3,53.54709,28.23455,160.8277,46.7627,687.557,46.7627,0,0,0,.892118,1.04e+07,58.333,0,.9,68.9863,786.616
"BLZ","Belize",22127.11,17.21523,-88.52512,173.3061,25.4552,25.7268,1292.66,1,1,.9987746,.9987746,208650,13.273,1,1,24.7126,24.0994
"BOL","Bolivia",1090806,-16.72635,-64.43522,1192.57,453.98,743.672,623.248,1,1,0,.0247294,7445214,12.522,0,.02,683.864,684.278
"BRA","Brazil",8420640,-10.83416,-52.87329,319.2997,315.764,683.278,610.338,.9312326,.7518759,.0870005,.2112785,1.47e+08,503.878,.34,.37,745.226,1034.57
"BRN","Brunei",6733.067,4.475859,114.8555,478.7564,33.5407,33.5407,1143,1,1,1,1,233433,43.479,1,1,37.1857,38.0153
"BTN","Bhutan",38303.91,27.39507,90.58325,2220.219,136.476,506.893,136.476,0,0,0,.2441004,1964967,254.516,0,.45,134.061,500.996
"BWA","Botswana",589403.2,-22.26193,23.95509,1013.629,799.264,857.53,964.137,.6948134,.5017304,0,0,1544234,41.789,0,0,933.992,1040.78
"CAF","Central African Republic",631687.8,6.504555,20.60242,635.7053,1175.28,1241.7,1504.49,1,1,0,0,3290360,59.749,0,0,1165.39,1236.57
