country_name,local_unit_name,year,time,deaths,time_unit
China,Wuhan City,2020,1,339,weekly
China,Wuhan City,0,1,321,weekly
China,Wuhan City,2020,2,341,weekly
China,Wuhan City,0,2,305,weekly
China,Wuhan City,2020,3,372,weekly
China,Wuhan City,0,3,321,weekly
China,Wuhan City,2020,4,614,weekly
China,Wuhan City,0,4,310,weekly
China,Wuhan City,2020,5,879,weekly
China,Wuhan City,0,5,302,weekly
China,Wuhan City,2020,6,892,weekly
China,Wuhan City,0,6,332,weekly
China,Wuhan City,2020,7,666,weekly
China,Wuhan City,0,7,308,weekly
China,Wuhan City,2020,8,509,weekly
China,Wuhan City,0,8,305,weekly
China,Wuhan City,2020,9,400,weekly
China,Wuhan City,0,9,284,weekly
China,Wuhan City,2020,10,370,weekly
China,Wuhan City,0,10,272,weekly
China,Wuhan City,2020,11,324,weekly
China,Wuhan City,0,11,252,weekly
China,Wuhan City,2020,12,293,weekly
China,Wuhan City,0,12,261,weekly
China,Wuhan City,2020,13,278,weekly
China,Wuhan City,0,13,228,weekly
Belarus,Mogilev City,2020,1,88,weekly
Belarus,Mogilev City,2019,1,70,weekly
Belarus,Mogilev City,2020,2,93,weekly
Belarus,Mogilev City,2019,2,99,weekly
Belarus,Mogilev City,2020,3,76,weekly
Belarus,Mogilev City,2019,3,87,weekly
Belarus,Mogilev City,2020,4,86,weekly
Belarus,Mogilev City,2019,4,91,weekly
Belarus,Mogilev City,2020,5,79,weekly
Belarus,Mogilev City,2019,5,99,weekly
Belarus,Mogilev City,2020,6,79,weekly
Belarus,Mogilev City,2019,6,78,weekly
Belarus,Mogilev City,2020,7,87,weekly
Belarus,Mogilev City,2019,7,93,weekly
Belarus,Mogilev City,2020,8,88,weekly
Belarus,Mogilev City,2019,8,86,weekly
Belarus,Mogilev City,2020,9,90,weekly
Belarus,Mogilev City,2019,9,71,weekly
Belarus,Mogilev City,2020,10,86,weekly
Belarus,Mogilev City,2019,10,113,weekly
Belarus,Mogilev City,2020,11,73,weekly
Belarus,Mogilev City,2019,11,73,weekly
Belarus,Mogilev City,2020,12,74,weekly
Belarus,Mogilev City,2019,12,73,weekly
Belarus,Mogilev City,2020,13,83,weekly
Belarus,Mogilev City,2019,13,89,weekly
Belarus,Mogilev City,2020,14,96,weekly
Belarus,Mogilev City,2019,14,73,weekly
Belarus,Mogilev City,2020,15,62,weekly
Belarus,Mogilev City,2019,15,70,weekly
