World_Bank_income_group,date,population,estimated_daily_excess_deaths_per_100k,estimated_daily_excess_deaths_ci_95_top_per_100k,estimated_daily_excess_deaths_ci_90_top_per_100k,estimated_daily_excess_deaths_ci_50_top_per_100k,estimated_daily_excess_deaths_ci_50_bot_per_100k,estimated_daily_excess_deaths_ci_90_bot_per_100k,estimated_daily_excess_deaths_ci_95_bot_per_100k,estimated_daily_excess_deaths_raw_estimate_per_100k,daily_excess_deaths_per_100k,daily_covid_deaths_per_100k
High income,2020-01-01,1236898426,-0.07197172425742912,-0.034389797963001435,-0.043835310791886795,-0.06632376179007844,-0.1062270110131607,-0.16574205331961236,-0.18554097656604573,0,0,0
High income,2020-09-07,1236898426,0.16799427950082732,0.18972910975620477,0.1840277717157172,0.17614214910878798,0.16425953864948772,0.1604878266274995,0.15935478756814603,11.190988810390287,0.15543040014430953,0.09148455331610228
High income,2020-09-21,1236898426,0.17208085322603697,0.19682938616085963,0.19015436592279678,0.1788389071102683,0.16789001002159526,0.16304501779709016,0.1623350901241202,11.477590470968048,0.1594109787634451,0.09938463613179503
High income,2020-09-28,1236898426,0.15086895843433135,0.17648997916642442,0.1684948590163872,0.15741998593010412,0.1470656491360219,0.1430360433228101,0.1404791088254544,9.963878001074312,0.13838719445936543,0.10721527104603171
High income,2020-10-05,1236898426,0.19741332466976508,0.21547789056190567,0.211203474698721,0.20176716466908523,0.18952450330991896,0.18228699387095607,0.18168387256787116,13.037141126545846,0.18107140453535897,0.1080700704198325
High income,2020-10-12,1236898426,0.20698984736341328,0.22399306665479984,0.22172213098952184,0.21006166831174122,0.1987119342855076,0.19295243830404357,0.19008973316280883,13.681111316452053,0.19001543495072298,0.11662817008063683
High income,2020-10-19,1236898426,0.32226274841705305,0.33691516650837755,0.3342170039166092,0.3255717523709594,0.31558078942367346,0.3084777915447798,0.3071291514545209,22.00914935605838,0.3056826299452553,0.14070904800391426
High income,2020-09-14,1236898426,0.18115283648775232,0.20924287921883802,0.20297947236498712,0.1897556918280342,0.17774121005861554,0.17261005435367735,0.17161370832919612,12.159314078515429,0.16887936220160318,0.08882815087356251
High income,2020-11-02,1236898426,0.5548231500892752,0.5697079233074251,0.5680626719379533,0.5598588836111249,0.5483108761872041,0.5432273355560339,0.5405730618564659,38.83848180786982,0.5394233584426363,0.24525635543172727
High income,2020-11-09,1236898426,0.6045078239495225,0.6188740530916401,0.6176852016222749,0.6092674530389637,0.5975494413233216,0.592087265675531,0.5897862756314911,42.435451147279245,0.589381265934434,0.3500230018079108
High income,2020-11-16,1236898426,0.6379129747850046,0.6520130561827807,0.6505030329809837,0.6410077545804129,0.629883207727018,0.6251232615549014,0.6234422106634682,44.75657949512987,0.6216191596545816,0.394385092377828
