World_Bank_income_group,date,population,cumulative_estimated_daily_excess_deaths,cumulative_estimated_daily_excess_deaths_ci_95_top,cumulative_estimated_daily_excess_deaths_ci_90_top,cumulative_estimated_daily_excess_deaths_ci_50_top,cumulative_estimated_daily_excess_deaths_ci_50_bot,cumulative_estimated_daily_excess_deaths_ci_90_bot,cumulative_estimated_daily_excess_deaths_ci_95_bot,cumulative_estimated_daily_excess_deaths_raw_estimate,cumulative_daily_excess_deaths,cumulative_daily_covid_deaths
High income,2020-01-01,1236898426,-6231.519871536407,-2977.5680879626143,-3795.3878845193913,-5742.502959518289,-9197.441590460421,-14350.425941112564,-16064.673931113139,0,0,0
High income,2020-09-07,1236898426,494701.1106552907,531961.1536456203,529397.976698204,508024.7485328424,477382.08305062936,456106.7814397528,454335.06235635624,35930147.751288615,499029.8298790085,405283.326
High income,2020-09-21,1236898426,525285.1042924918,563762.8907046654,560782.9537970785,540619.3484406709,507840.06789491087,486441.93435591937,481987.4552667424,37976699.253582396,527454.1562997556,421579.333
High income,2020-09-28,1236898426,538347.7746978697,577367.0030315069,574354.6943049099,554328.5609134389,520309.02788297733,498922.79903459473,493604.3211736285,38839400.60472934,539436.1195101297,430862.341
High income,2020-10-05,1236898426,555440.3908367519,594863.2845821658,591599.5832072089,571741.924072101,536705.0946412706,515997.31086730614,508834.9698679633,39968193.958456844,555113.8049785673,440219.36
High income,2020-10-12,1236898426,573362.1699848769,613123.7742226376,610035.4366611507,589430.9887845789,554457.5350359675,533880.1126154475,525971.0833702876,41152744.11218437,571565.8904470052,450317.364
High income,2020-10-19,1236898426,601264.6100241609,641398.3877169685,637883.7523249349,617067.495936762,582214.3915316036,561882.5539012636,554170.6193835255,43058359.86591189,598032.775915443,462500.36
High income,2020-09-14,1236898426,510385.84673749027,548219.9922611787,545440.7342270844,525033.4789112504,493441.593854257,472069.94653691613,468501.6163633869,36982936.30243549,513651.8930893818,412974.32399999996
High income,2020-11-02,1236898426,686578.9793679605,728033.1180010097,724305.1062146174,702283.6876456351,667785.0444921921,647762.1236458786,640630.0822076346,49025562.81078628,680910.5945942539,499885.365
High income,2020-11-09,1236898426,738919.01368431,781333.1145456084,777283.9234958518,754012.1045729241,719557.4195325678,700266.3505748766,693490.1077421614,52699746.801933154,731940.9278046271,530191.368
High income,2020-11-16,1236898426,794151.3624948685,837671.3578167537,833164.2728017514,809814.4706342779,773847.7612244104,754437.9088154958,749053.3068203597,56574900.793080054,785762.5110150008,564338.369
High income,2020-11-23,1236898426,847765.3045287462,892627.0023757983,887586.0539000253,864762.0934292326,826566.2381360758,807096.8445536061,802708.9251643156,60353225.58422695,838239.2442253743,603686.377
High income,2020-11-30,1236898426,903374.0199781101,948772.678128883,944237.9065437495,921202.6405848314,881394.1480539202,861798.5037990443,857776.132693256,64280777.57537381,892788.5774357474,643978.391
High income,2020-10-26,1236898426,638540.7876941955,679505.7356835572,675679.3489391324,654278.7953450113,619433.2353232134,599600.2632924322,592027.2815360824,45662814.819639415,634205.7613838807,478650.361
High income,2020-08-10,1236898426,433461.5967918479,465284.48793632875,462030.85568801186,444778.1206786359,417411.98159852054,398340.09347057133,392738.4524755183,31825060.880894586,442014.7344568693,370866.328
High income,2020-08-17,1236898426,453770.2613494873,486244.10343767365,484481.587704216,465403.45068062504,437522.3725255318,417877.14134690637,413104.6512590427,33208676.05397696,461231.6118607911,380046.331
High income,2020-08-24,1236898426,468190.74093913817,501518.4884567103,500428.42861822253,480683.6853137254,451152.9661877473,430793.3544355706,427637.864678074,34172452.02705936,474617.38926471333,389000.332
High income,2020-08-31,1236898426,480155.6804628803,515799.1195998613,514144.36905940546,493264.487585277,462454.8236811071,441648.3619564417,439697.4575806665,34961199.60014174,485572.21666863526,397362.32899999997
High income,2021-01-04,1236898426,1178220.6952910414,1227349.4737955106,1223933.3418956804,1196531.272142128,1156024.8897496755,1134614.277852732,1129993.357323782,83690530.95496252,1162368.4854855905,875488.411
High income,2021-01-11,1236898426,1223071.2281597485,1272933.253055473,1269808.3325697356,1241833.5422808027,1200693.4098910785,1179204.8121056817,1174773.76827427,86813414.80241509,1205741.8722557651,931802.41
High income,2021-01-18,1236898426,1270623.5703551113,1321150.6801787356,1318016.5549492887,1289878.9912949647,1247821.519713097,1226304.1213678927,1221175.1472416942,90125397.0498676,1251741.6256926055,989755.396
High income,2021-01-25,1236898426,1308436.4805708365,1360339.202584078,1356740.3959303128,1328078.9646359845,1285672.0880380417,1264000.8067960998,1258479.942014599,92775094.49732015,1288542.9791294464,1047884.404
High income,2021-02-01,1236898426,1336154.6823804057,1389097.2869889284,1386851.8345286911,1358121.2858911594,1314353.4783443497,1292831.6252339939,1286634.0833956534,94672325.50927262,1314893.4098510086,1104991.391
High income,2021-02-08,1236898426,1355441.1450392115,1408862.3703247951,1407761.5750389798,1378430.1844845957,1333469.290625102,1311741.5027529788,1306090.5959225358,95928211.72122514,1332336.2739059047,1156182.405
High income,2021-02-15,1236898426,1370257.5969276985,1424461.91667353,1423289.693024422,1392783.8679264886,1347653.434240367,1325378.6799584306,1319542.1794128073,96844638.33317767,1345064.4212941343,1199057.433
High income,2021-02-22,1236898426,1377796.7970486195,1434432.6655694214,1431462.7825446306,1400103.565569487,1355662.7240983928,1332622.3773820556,1326257.5224334467,97239849.08108522,1350553.459459517,1233618.463
High income,2021-03-01,1236898426,1378929.104266354,1438089.30069645,1433394.199238895,1402115.3816072363,1355882.1565243725,1333191.4966089015,1326290.228554851,97215032.08224867,1350208.7789201206,1266704.467
High income,2021-03-08,1236898426,1381269.870411404,1443615.6869814817,1436184.819116833,1405080.4030935161,1358252.3240373493,1334524.6436034967,1328224.7527025375,97253113.8493138,1350737.6923515806,1295547.456
High income,2021-03-15,1236898426,1384697.5502843605,1450786.7131042853,1442355.3241973296,1407869.5660359066,1362075.5685056888,1338289.351119271,1331942.6459636337,97351064.99165979,1352098.1248841637,1321338.452
High income,2021-03-22,1236898426,1392366.259104488,1462535.1766568688,1451415.902988733,1415370.6433896478,1369401.3824706818,1347112.0386283994,1339392.8025692943,97700303.3744552,1356948.6579785442,1345608.474
High income,2021-03-29,1236898426,1400878.9596574933,1475548.132092921,1463020.7762575692,1424878.3031156752,1377650.4217626094,1356711.8698639253,1347511.1281332572,97879942.60219438,1359443.6472526996,1371490.449
High income,2020-12-07,1236898426,962865.9055685588,1008919.0051030796,1004693.6050928828,981073.1352182885,940464.9600776418,920402.8076682187,916665.4039020297,68489565.2129723,951243.9612912819,688663.381
High income,2020-12-14,1236898426,1019241.3269390983,1065929.571289388,1062062.7434619127,1037900.5294014297,997096.6409753716,976368.0335034177,972457.4502077122,72473939.6505708,1006582.4951468165,734411.405
