World_Bank_income_group,date,population,cumulative_estimated_daily_excess_deaths_per_100k,cumulative_estimated_daily_excess_deaths_ci_95_top_per_100k,cumulative_estimated_daily_excess_deaths_ci_90_top_per_100k,cumulative_estimated_daily_excess_deaths_ci_50_top_per_100k,cumulative_estimated_daily_excess_deaths_ci_50_bot_per_100k,cumulative_estimated_daily_excess_deaths_ci_90_bot_per_100k,cumulative_estimated_daily_excess_deaths_ci_95_bot_per_100k,cumulative_estimated_daily_excess_deaths_raw_estimate_per_100k,cumulative_daily_excess_deaths_per_100k,cumulative_daily_covid_deaths_per_100k
High income,2020-01-01,1236898426,-0.5038020698020038,-0.24072858574101008,-0.30684717554320756,-0.46426633253054916,-0.743589077092125,-1.1601943732372866,-1.29878683596232,0,0,0
High income,2020-09-07,1236898426,39.99528985214269,43.00766679491436,42.80044064816394,41.072471098192054,38.59509180510747,36.87503936073024,36.731800510542186,2904.8583938685206,40.345255470396125,32.766096025414456
High income,2020-09-21,1236898426,42.467925680139224,45.57875399096558,45.33783389235863,43.70765918014604,41.057540152040815,39.327557067803994,38.967424093620956,3070.316725714905,42.64328785715146,34.08358553445196
High income,2020-09-28,1236898426,43.524008389179535,46.67861086206175,46.435073586625286,44.81601312292711,42.06562292795555,40.336602306792386,39.906617293539064,3140.0638717224256,43.61199821836702,34.83409243177418
High income,2020-10-05,1236898426,44.9059016618679,48.09313942664567,47.82927771364218,46.22383795256774,43.391202006531664,41.717031893717206,41.13797537227711,3231.323859608246,44.87949805011453,35.59058292471301
High income,2020-10-12,1236898426,46.35483059341179,49.56945221487715,49.319768207155164,47.653952531149784,44.826440343127054,43.16280960450082,42.52338529293977,3327.0916388234104,46.20960609476959,36.40698011527747
High income,2020-10-19,1236898426,48.610669832331155,51.85538070342476,51.57123163199295,49.88829179226087,47.0705095336263,45.42673368243607,44.803243963666056,3481.155684315819,48.34938450438637,37.39194345130487
High income,2020-09-14,1236898426,41.26335970755696,44.32215133736282,44.09745560037477,42.447582426727934,39.893461215727754,38.16561947318026,37.877129319217595,2989.9735924181286,41.527411005807345,33.3878930815294
High income,2020-11-02,1236898426,55.50811327234727,58.85957186924334,58.55817187486802,56.777797827485884,53.98867283320418,52.369872095372735,51.79326521413445,3963.588422481045,55.049839201125636,40.41442324545411
High income,2020-11-09,1236898426,59.73966803999393,63.16873707021828,62.84137057312835,60.95990493021486,58.17433383431017,56.61470140595657,56.06685991062628,4260.636580512,59.175508062666665,42.86458425810949
High income,2020-11-16,1236898426,64.20505886348896,67.72353656602952,67.35915054044635,65.4713801563426,62.56356584808286,60.99433008862894,60.55899911221648,4573.93263697791,63.52684218024874,45.62527990475427
High income,2020-11-23,1236898426,68.53960573547906,72.16655657509894,71.75900908616933,69.91375162678335,66.82571670893822,65.25166720145911,64.89691540478326,4879.400306086812,67.76944869565015,48.806463353038495
High income,2020-11-30,1236898426,73.035424816533,76.70578749114546,76.33916307884036,74.47682212385897,71.2584097066286,69.67415316276296,69.3489549879382,5196.932603694155,72.17961949575214,52.063967215364535
High income,2020-10-26,1236898426,51.62435122172235,54.93626003559626,54.626906683373235,52.896727944013996,50.07955562902571,48.476111755714385,47.863856003975734,3691.7190498259565,51.273875692027175,38.69762875743202
High income,2020-08-10,1236898426,35.044235458655834,37.617032907140974,37.35398525666908,35.95914679243321,33.74666608222529,32.20475385022208,31.751875838794078,2572.972865994623,35.73573424992533,29.983571828071838
High income,2020-08-17,1236898426,36.686137827576744,39.311562955911924,39.16906817247546,37.62665073361691,35.37253854711687,33.7842730302663,33.39842969927449,2684.834530946114,37.28936848536269,30.725751040773012
High income,2020-08-24,1236898426,37.851995854923835,40.546457002016616,40.458328517447924,38.86201770570653,36.47453636485971,34.82851504862135,34.573401961631575,2762.7532955611796,38.371573549460834,31.44965858336374
High income,2020-08-31,1236898426,38.819329895636905,41.70100864853565,41.56722639886401,39.879142637479355,37.3882619591196,35.70611399229331,35.54838848025719,2826.521472195789,39.25724266938595,32.12570415220174
