World_Bank_income_group,date,population,estimated_daily_excess_deaths,estimated_daily_excess_deaths_ci_95_top,estimated_daily_excess_deaths_ci_90_top,estimated_daily_excess_deaths_ci_50_top,estimated_daily_excess_deaths_ci_50_bot,estimated_daily_excess_deaths_ci_90_bot,estimated_daily_excess_deaths_ci_95_bot,estimated_daily_excess_deaths_raw_estimate,daily_excess_deaths,daily_covid_deaths
High income,2020-01-01,1236898426,-890.217124505201,-425.3668697089449,-542.1982692170559,-820.3575656454698,-1313.9202272086316,-2050.060848730366,-2294.9534187304484,0,0,0
High income,2020-09-07,1236898426,2077.918598915774,2346.7563722383093,2276.236611754579,2178.6994698491712,2031.7236481103755,1985.0714014771502,1971.056859186042,138421.1644495536,1922.5161729104664,1131.571
High income,2020-09-21,1236898426,2128.4653650002215,2434.5795793291345,2352.0163590693537,2212.055627122511,2076.628891368354,2016.701258803628,2007.9201745909245,141966.13587812977,1971.7518871962468,1229.287
High income,2020-09-28,1236898426,1866.0957721968384,2183.0017743572316,2084.1102590646124,1947.1253281788793,1819.0526993501376,1769.2105684725161,1737.5838859208725,123243.05016384841,1711.70903005345,1326.144
High income,2020-10-05,1236898426,2441.802305554594,2665.2426367382136,2612.3724542057885,2495.6548839767433,2344.2255983247055,2254.704957992572,2247.244960087844,161256.19338964424,2239.6693526339477,1336.7169999999999
High income,2020-10-12,1236898426,2560.254164017861,2770.56671580235,2742.477548303054,2598.249468977268,2457.8647874515977,2386.625672311336,2351.2169174783826,169221.45053250334,2350.2979240625464,1442.5720000000001
High income,2020-10-19,1236898426,3986.062862754869,4167.298391497401,4133.924860868898,4026.991880577015,3903.4138171397913,3815.5569481769426,3798.8756401281257,272230.82196107524,3780.9836383482675,1740.428
High income,2020-09-14,1236898426,2240.6765831713624,2588.1218795748887,2510.6498987856307,2347.0851654663657,2198.4782295683694,2135.0110454183796,2122.687257124058,150398.36444955374,2088.866172910469,1098.714
High income,2020-11-02,1236898426,6862.598810537863,7046.708336186829,7026.358247894089,6924.8857192071755,6782.048597146336,6719.170363094321,6686.339693482633,480392.5701638381,6672.119030053307,3033.572
High income,2020-11-09,1236898426,7477.147759478495,7654.843421612901,7640.1385365008455,7536.019536769231,7391.079634299958,7323.518069687082,7295.057160049935,524883.427306696,7290.047601481888,4329.429
